Ticker,Name,Sector,Industry,Country
SWED-A.ST,Swedbank A,Financial Services,Banks - Regional,Sweden
0HBT.IL,Skanska B,Industrials,Engineering & Construction,Sweden
SHB-B.ST,Svenska Handelsbanken A,Financial Services,Banks - Diversified,Sweden
SSVOLVB.FGI,Volvo B,N/A,N/A,N/A
TEL2-B.ST,Tele2 AB,Communication Services,Telecom Services,Sweden
TELIA1.HE,Telia Company,Communication Services,Telecom Services,Sweden
0NWX.IL,SKF B,Industrials,Tools & Accessories,Sweden
PROX.BR,Proximus,Communication Services,Telecom Services,Belgium
ACKB.BR,Ackermans,Industrials,Engineering & Construction,Belgium
EFC1.SG,Etablissementen Franz Colruyt,N/A,N/A,N/A
CFMOF,Cofinimmo,Real Estate,REIT - Healthcare Facilities,Belgium
KDB0.F,KBC Groep,Financial Services,Banks - Regional,Belgium
SOLB.BR,Solvay,Basic Materials,Chemicals,Belgium
LVLG.L,GBL,N/A,N/A,N/A
UCB,UCB,Financial Services,Banks - Regional,United States
DANSKE.CO,Danske Bank,Financial Services,Banks - Regional,Denmark
CARL-B.CO,Carlsberg B,Consumer Defensive,Beverages - Brewers,Denmark
DSV.CO,DSV,Industrials,Integrated Freight & Logistics,Denmark
NOVO-B.CO,Novo Nordisk B,Healthcare,Drug Manufacturers - General,Denmark
NSIS-B.CO,Novozymes AS,Basic Materials,Specialty Chemicals,Denmark
GMAB.CO,Genmab,Healthcare,Biotechnology,Denmark
GN.CO,GN Store Nord,Healthcare,Medical Devices,Denmark
VWS.CO,Vestas Wind,Industrials,Specialty Industrial Machinery,Denmark
DEMANT.CO,Demant,Healthcare,Medical Devices,Denmark
TRYG.CO,Tryg,Financial Services,Insurance - Diversified,Denmark
KNEBV.HE,KONE Oyj,Industrials,Specialty Industrial Machinery,Finland
ELISA.HE,Elisa Oyj,Communication Services,Telecom Services,Finland
FORTUM.HE,Fortum,Utilities,Utilities - Renewable,Finland
KESKOB.HE,Kesko,Consumer Defensive,Grocery Stores,Finland
NESTE.HE,Neste Oyj,Energy,Oil & Gas Refining & Marketing,Finland
STERV.HE,Stora Enso Oyj R,Basic Materials,Paper & Paper Products,Finland
TYRES.HE,Nokian Renkaat,Consumer Cyclical,Auto Parts,Finland
UPM.HE,UPM-Kymmene,Basic Materials,Paper & Paper Products,Finland
AZ2.DE,Andritz AG,Industrials,Industrial Distribution,Austria
EBS.VI,Erste Group Bank AG,Financial Services,Banks - Regional,Austria
IMO1.F,CPI Europe,Real Estate,Real Estate - Diversified,Austria
OMV.DE,OMV AG,Energy,Oil & Gas Integrated,Austria
RBI.VI,Raiffeisen Bank,Financial Services,Banks - Regional,Austria
